index,n,digits_Q47n,log10_n
1,23159557,341,7.364730
2,2156109985,432,9.333671
3,2367719045,433,9.374330
4,2559344807,435,9.408129
5,2646631730,436,9.422694
6,2682956949,436,9.428614
7,2859276863,437,9.456256
8,2862155914,437,9.456693
9,2922108368,438,9.465696
10,3808591354,443,9.580764
11,3910149357,443,9.592193
12,3984049296,444,9.600325
13,4321302016,445,9.635615
14,4440836966,446,9.647465
15,4609300323,447,9.663635
16,4845913360,448,9.685376
17,4869383097,448,9.687474
18,4978135228,448,9.697067
19,5401172815,450,9.732488
20,5987250047,452,9.777227
21,6110261912,452,9.786060
22,6163335145,453,9.789816
23,6373860677,453,9.804403
24,6593670318,454,9.819127
25,6865526408,455,9.836674
26,7033432787,455,9.847167
27,7376926473,456,9.867875
28,7431664871,456,9.871086
29,7478608042,456,9.873821
30,7643906132,457,9.883315
31,8024906370,458,9.904440
32,8138254083,458,9.910531
33,8243699121,458,9.916122
34,8270587886,458,9.917536
35,8308943147,458,9.919546
36,8456172678,459,9.927174
37,8941368591,460,9.951404
38,9261909463,461,9.966701
39,9297881176,461,9.968384
40,9346865105,461,9.970666
41,9371853013,461,9.971825
42,9676031754,462,9.985697
43,9737440537,462,9.988445
44,9768693250,462,9.989836
45,9825401196,462,9.992350
46,9922591191,462,9.996625
47,10296982937,463,10.012710
48,10662913516,463,10.027876
49,10773495137,464,10.032357
50,11420977851,465,10.057703
51,12029456436,466,10.080246
52,12091789702,466,10.082491
53,12277912262,466,10.089125
54,12336065313,466,10.091177
55,12411596411,466,10.093828
56,12486439563,467,10.096439
57,12572336934,467,10.099416
58,12819052197,467,10.107856
59,12829342779,467,10.108204
60,13217014958,468,10.121133
61,13463731543,468,10.129165
62,13718894736,468,10.137319
63,13938346000,469,10.144211
64,14112459844,469,10.149603
65,14725126684,470,10.168059
66,14866257421,470,10.172202
67,14958002800,470,10.174874
68,15176444319,471,10.181170
69,15433872878,471,10.188475
70,16191706791,472,10.209293
71,16346563611,472,10.213426
72,16403912261,472,10.214947
73,16420640272,472,10.215390
74,16465113457,472,10.216565
75,16721655751,472,10.223279
76,16926589689,473,10.228569
77,16965162924,473,10.229558
78,17006306294,473,10.230610
79,17284352567,473,10.237653
80,17285073260,473,10.237671
81,17750994837,474,10.249223
82,18208354667,474,10.260271
83,18225771320,474,10.260686
84,18477363590,474,10.266640
85,18538769744,475,10.268081
86,18871494317,475,10.275806
87,19348240392,475,10.286641
88,19440564268,475,10.288709
89,19812318421,476,10.296935
90,20023217629,476,10.301534
91,20047573298,476,10.302062
92,21462726584,477,10.331685
93,21477992219,477,10.331994
94,21703091509,478,10.336522
95,21796611324,478,10.338389
96,22104809340,478,10.344487
97,22123968840,478,10.344863
98,22153612552,478,10.345445
99,23273903633,479,10.366869
100,23382475736,479,10.368890
101,24264182155,480,10.384966
102,24928130999,480,10.396690
103,25591019963,481,10.408088
104,25595447607,481,10.408163
105,26077403187,481,10.416264
106,26840589431,482,10.428792
107,27037138706,482,10.431961
108,27172737340,482,10.434133
109,27306543134,482,10.436267
110,27537632971,482,10.439927
111,27654812028,482,10.441771
112,27667841673,483,10.441975
113,28117028407,483,10.448969
114,28275508576,483,10.451410
115,28448365863,483,10.454057
116,28769102372,483,10.458926
117,28985923270,483,10.462187
118,29007013739,483,10.462503
119,29205694065,484,10.465468
120,29248829804,484,10.466108
121,29359522327,484,10.467749
122,29407930965,484,10.468464
123,29707259861,484,10.472863
124,30321866727,484,10.481756
125,30338138635,484,10.481989
126,31163620475,485,10.493648
127,31255160676,485,10.494922
128,31839663584,485,10.502968
129,32159567458,486,10.507310
130,32187300408,486,10.507685
131,32723642176,486,10.514862
132,32770705129,486,10.515486
133,33050188714,486,10.519174
134,33278350647,486,10.522162
135,33546915533,486,10.525653
136,34053066127,487,10.532156
137,34339418543,487,10.535793
138,34509180003,487,10.537935
139,35050434232,487,10.544693
140,35676017721,488,10.552376
141,36106334454,488,10.557583
142,36659655626,488,10.564188
143,36663845068,488,10.564238
144,36983540565,488,10.568008
145,37045103764,488,10.568731
146,37225818192,488,10.570844
147,37264129419,488,10.571291
148,37610185301,489,10.575305
149,37687848168,489,10.576201
150,38060892826,489,10.580479
151,38140297758,489,10.581384
152,38906722779,489,10.590025
153,38935158196,489,10.590342
154,39469603024,490,10.596263
155,39512366073,490,10.596733
156,39819508101,490,10.600096
157,40188067115,490,10.604097
158,40951034954,490,10.612265
159,41262186068,490,10.615552
160,41461743319,491,10.617648
161,41531565219,491,10.618378
162,41605881299,491,10.619155
163,42331080598,491,10.626659
164,42440318042,491,10.627779
165,42958984490,491,10.633054
166,43059140292,491,10.634065
167,43384741442,491,10.637337
168,43521552810,492,10.638704
169,43590044530,492,10.639387
170,43919311018,492,10.642656
171,44321999898,492,10.646619
172,44358008590,492,10.646972
173,44475318446,492,10.648119
174,44757712172,492,10.650868
175,44932613818,492,10.652562
176,44977673406,492,10.652997
177,45160546272,492,10.654759
178,45563786577,492,10.658620
179,45656801532,493,10.659505
180,45732035121,493,10.660221
181,46691577349,493,10.669239
182,46880923696,493,10.670996
183,47028213174,493,10.672358
184,47891865891,493,10.680262
185,48104432430,494,10.682185
186,48312253875,494,10.684057
187,49535988654,494,10.694921
188,50039781156,494,10.699315
189,50292590415,494,10.701504
190,50482165243,495,10.703138
191,50600552732,495,10.704155
192,50937581274,495,10.707038
193,52267837976,495,10.718235
194,52353514123,495,10.718946
195,52392806692,495,10.719272
196,52669359878,495,10.721558
197,52828504815,495,10.722868
198,52861100899,495,10.723136
199,52883274091,495,10.723318
200,52936366475,495,10.723754
201,53309481335,496,10.726804
202,53632917015,496,10.729431
203,53967604267,496,10.732133
204,54546717954,496,10.736769
205,54655842235,496,10.737637
206,54878514797,496,10.739402
207,55109556141,496,10.741227
208,55204294829,496,10.741973
209,55634252193,496,10.745342
210,55731389090,496,10.746100
211,55858815928,497,10.747092
212,56592199933,497,10.752757
213,56665935108,497,10.753322
214,56868770875,497,10.754874
215,57155294000,497,10.757056
216,57224113601,497,10.757579
217,57280387847,497,10.758006
218,57348100021,497,10.758519
219,57826330641,497,10.762126
220,57926590477,497,10.762878
221,58268509646,497,10.765434
222,58796681858,498,10.769353
223,59989205731,498,10.778073
224,60491176786,498,10.781692
225,60502965982,498,10.781777
226,60765988778,498,10.783661
227,60773199040,498,10.783712
228,60876885161,498,10.784452
229,61355576466,498,10.787854
230,62065331901,499,10.792849
231,62769188085,499,10.797747
232,62975874937,499,10.799174
233,63150957868,499,10.800380
234,63290715485,499,10.801340
235,63600609254,499,10.803461
236,64316222569,499,10.808321
237,64482563907,499,10.809442
238,64722592379,499,10.811056
239,65020173993,500,10.813048
240,65576910525,500,10.816751
241,65809731485,500,10.818290
242,65824739709,500,10.818389
243,66398952664,500,10.822161
244,66483948761,500,10.822717
245,66699239736,500,10.824121
246,66708084075,500,10.824178
247,66782549246,500,10.824663
248,66954115822,500,10.825777
249,67078621554,500,10.826584
250,67745481054,500,10.830880
251,67937064659,500,10.832107
252,68822406273,501,10.837730
253,68875255095,501,10.838063
254,69315435078,501,10.840830
255,69384901935,501,10.841265
256,69385681900,501,10.841270
257,69510145869,501,10.842048
258,69656333597,501,10.842961
259,69984014739,501,10.844999
260,70080415944,501,10.845597
261,70180654654,501,10.846217
262,72303918076,502,10.859162
263,72443521125,502,10.860000
264,72523495237,502,10.860479
265,72953483738,502,10.863046
266,73145472824,502,10.864187
267,73190889378,502,10.864457
268,73268767383,502,10.864919
269,73288859807,502,10.865038
270,73292417435,502,10.865059
271,73792462785,502,10.868012
272,74192827003,502,10.870362
273,74586191818,502,10.872658
274,75058926742,502,10.875402
275,75110822597,502,10.875703
276,75165534923,502,10.876019
277,75672753870,503,10.878940
278,75882864264,503,10.880144
279,75900027213,503,10.880242
280,76633256122,503,10.884417
281,76825489769,503,10.885505
282,77184542378,503,10.887530
283,77255566182,503,10.887930
284,77309742824,503,10.888234
285,77594757268,503,10.889832
286,77677017995,503,10.890293
287,78091095111,503,10.892602
288,78447523763,503,10.894579
289,78537052509,503,10.895075
290,78946599927,503,10.897333
291,79244640245,504,10.898970
292,80121852058,504,10.903751
293,80192801429,504,10.904135
294,80227459218,504,10.904323
295,80245711958,504,10.904422
296,80552803551,504,10.906081
297,80878916505,504,10.907835
298,81031826314,504,10.908656
299,81094362268,504,10.908991
300,81132554616,504,10.909195
301,81205919974,504,10.909588
302,81227898774,504,10.909705
303,81432856964,504,10.910800
304,81490464705,504,10.911107
305,81807931841,504,10.912795
306,81897209816,504,10.913269
307,81990544173,504,10.913764
308,82181807479,504,10.914776
309,82522163871,504,10.916571
310,82522310183,504,10.916571
311,82563276016,504,10.916787
312,83548628339,505,10.921939
313,83702501805,505,10.922738
314,83918295196,505,10.923857
315,84440673564,505,10.926552
316,84710961261,505,10.927940
